,cash
1001,850.0
1002,830.0
1003,830.0
1004,830.0
1005,885.0
1006,865.0
1007,920.0
1008,900.0
1009,945.0
1010,935.0
1011,925.0
1012,925.0
1013,905.0
1014,905.0
1015,880.0
1016,855.0
1017,845.0
1018,845.0
1019,845.0
1020,935.0
1021,915.0
1022,905.0
1023,905.0
1024,1010.0
1025,990.0
1026,1050.0
1027,1030.0
1028,1050.0
1029,1030.0
1030,1030.0
1031,1030.0
1032,1095.0
1033,1080.0
1034,1060.0
1035,1060.0
1036,1060.0
1037,1165.0
1038,1145.0
1039,1145.0
1040,1145.0
1041,1200.0
1042,1215.0
1043,1195.0
1044,1195.0
1045,1195.0
1046,1230.0
1047,1220.0
1048,200.0
1049,190.0
1050,180.0
1051,140.0
1052,140.0
1053,120.0
1054,110.0
1055,70.0
1056,30.0
1057,10.0
1058,10.0
1059,10.0
1060,200.0
1061,190.0
1062,225.0
1063,215.0
1064,215.0
1065,215.0
1066,255.0
1067,255.0
1068,245.0
1069,245.0
1070,285.0
1071,270.0
1072,270.0
1073,250.0
1074,380.0
1075,360.0
1076,350.0
1077,310.0
1078,310.0
1079,290.0
1080,280.0
1081,270.0
1082,250.0
1083,250.0
1084,230.0
1085,220.0
1086,220.0
1087,220.0
1088,220.0
1089,200.0
1090,190.0
1091,190.0
1092,170.0
1093,160.0
1094,160.0
1095,160.0
1096,140.0
1097,130.0
1098,130.0
1099,130.0
1100,175.0
1101,165.0
1102,155.0
1103,155.0
1104,155.0
1105,245.0
1106,235.0
1107,225.0
1108,225.0
1109,225.0
1110,205.0
1111,200.0
1112,215.0
1113,195.0
1114,195.0
1115,175.0
1116,155.0
1117,135.0
1118,115.0
1119,115.0
1120,115.0
1121,115.0
1122,95.0
1123,95.0
1124,95.0
1125,170.0
1126,150.0
1127,150.0
1128,150.0
1129,150.0
1130,130.0
1131,130.0
1132,225.0
1133,205.0
1134,205.0
1135,185.0
1136,350.0
1137,330.0
1138,330.0
1139,330.0
1140,320.0
1141,290.0
1142,290.0
1143,290.0
1144,285.0
1145,285.0
1146,265.0
1147,265.0
1148,245.0
1149,420.0
1150,400.0
1151,400.0
